iso3,covANC
AFG,0.58795
AGO,0.8115000000000001
ALB,0.8876999999999999
ARG,0.98425
ARM,0.9984999999999999
AZE,0.77755
BDI,0.99115
BEN,0.8219
BFA,0.9585499999999999
BGD,0.7602500000000001
BIH,0.8778
BLR,0.9750999999999999
BLZ,0.96655
BOL,0.8942
BRA,0.87765
BRB,0.9356
BTN,0.9462
CAF,0.53015
CIV,0.9342
CMR,0.8638499999999999
COD,0.8206
COG,0.9311
COL,0.96825
COM,0.91405
CRI,0.96815
CUB,0.9899000000000001
DOM,0.9802500000000001
DZA,0.9525999999999999
EGY,0.92635
ETH,0.6563
GAB,0.9453999999999999
GHA,0.97275
GIN,0.83095
GMB,0.9858
GNB,0.9721000000000001
GTM,0.91655
GUY,0.9136500000000001
HND,0.96675
HTI,0.90755
IDN,0.96295
IND,0.8007499999999999
IRQ,0.8946000000000001
JAM,0.9713499999999999
JOR,0.9825499999999999
KAZ,0.993
KEN,0.95525
KGZ,0.9989
KHM,0.95845
KIR,0.9109
LAO,0.769
LBR,0.96005
LCA,0.9693999999999999
LSO,0.9067500000000002
MAR,0.6676000000000001
MDA,0.986
MDG,0.8424
MDV,0.9886
MEX,0.98315
MKD,0.9732
MLI,0.8024000000000001
MMR,0.8156
MNE,0.971
MNG,0.99555
MOZ,0.9121000000000001
MRT,0.861
MWI,0.9478
"NAM",0.95465
NER,0.8382999999999999
NGA,0.6246
NIC,0.8617
NPL,0.9021000000000001
PAK,0.863
PAN,0.9240999999999999
PER,0.97375
PHL,0.92065
PNG,0.76815
PRY,0.9883
QAT,0.9113
RWA,0.9939
SDN,0.8010499999999999
SEN,0.9703499999999999
SLE,0.97555
SLV,0.9587
SRB,0.98725
SSD,0.431
STP,0.9769
SUR,0.8385499999999999
SWZ,0.98455
TCD,0.5562
TGO,0.7383500000000001
THA,0.98135
TJK,0.92735
TKM,1
TLS,0.8222
TON,0.9227500000000001
TTO,0.9678
TUN,0.9531000000000001
TUR,0.9691
TZA,0.9812000000000001
UGA,0.9733000000000002
UKR,0.98265
URY,0.97205
UZB,0.9418000000000001
VNM,0.9347999999999999
YEM,0.61095
ZAF,0.94195
ZMB,0.9697
ZWE,0.9363499999999999
